#SMC_G24_AVG
# A(x)/A(V) for x = 1/wave(in microns), from Gordon et al. (2024, ApJ, 970, 51)
# SMC Average
#1/um	A_x/A_V
1.e-9	0.000
0.460	0.062
0.617	0.125
0.812	0.324
1.837	1.021
2.284	1.349
2.756	1.514
3.323	1.888
3.462	1.968
3.607	2.091
3.759	2.174
3.916	2.328
4.080	2.409
4.251	2.571
4.430	2.735
4.615	2.894
4.809	3.026
5.011	3.162
5.221	3.272
5.439	3.435
5.668	3.615
5.905	3.804
6.153	3.973
6.411	4.167
6.679	4.428
6.959	4.654
7.251	4.914
7.555	5.173
7.872	5.511
8.202	5.377
8.546	5.899
8.904	6.929
